"industry","industryUrl", "product", "productUrl"
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,Addisil* 6200,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Addisil*+6200
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,Chainstopper TP3525,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Chainstopper+TP3525
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,CR50,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CR50
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,CR525A,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CR525A
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,CRTV 1400 SERIES,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CRTV+1400+SERIES
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,CRTV0300W,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CRTV0300W
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,CRTV0400W,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CRTV0400W
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,CRTV1486,http://msds.momentive.com/ehswww/showOptions.jsp?Product=CRTV1486
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,IS 5128 E,http://msds.momentive.com/ehswww/showOptions.jsp?Product=IS+5128+E
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,IS803,http://msds.momentive.com/ehswww/showOptions.jsp?Product=IS803
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,IS808,http://msds.momentive.com/ehswww/showOptions.jsp?Product=IS808
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,PSA5010,http://msds.momentive.com/ehswww/showOptions.jsp?Product=PSA5010
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,PSA5080,http://msds.momentive.com/ehswww/showOptions.jsp?Product=PSA5080
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,PSA518,http://msds.momentive.com/ehswww/showOptions.jsp?Product=PSA518
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,RTV122,http://msds.momentive.com/ehswww/showOptions.jsp?Product=RTV122
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,RTV123,http://msds.momentive.com/ehswww/showOptions.jsp?Product=RTV123
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,RTV128,http://msds.momentive.com/ehswww/showOptions.jsp?Product=RTV128
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,SCA1000,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SCA1000
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,SilCool* XE13-C1862,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SilCool*+XE13-C1862PT
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,SilForce* SL7061,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SilForce*+SL7061
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,SilGrip* CR593,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SilGrip*+CR593
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,SilGrip* PSA529,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SilGrip*+PSA529
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,SilGrip* PSA590,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SilGrip*+PSA590
"Adhesives &amp; Sealants",http://www.momentive.com/Products/selectorresults.aspx?taxids=1189&sort=Ascending,SilGrip* PSA590LD,http://msds.momentive.com/ehswww/showOptions.jsp?Product=SilGrip*+PSA590LD+%c2%a0
